行号,错误原因,数据源,房源ID,状态,小区名,室,厅,卫,朝向,楼层,面积,套内面积,挂牌价,上架时间,成交价,成交时间,物业类型,建筑年代,建筑结构,装修情况,电梯,产权性质,产权年限,上次交易,供暖方式,房源描述,城市ID,行政区,商圈,
155,字段 楼层: Input should be a valid string,张志强,offline155,在售,申城佳苑三期B块,2,1,1,双南,,78.61,,299,2025-11-05,,,,,,,,,,,,,,浦东,孙桥,
160,字段 楼层: Input should be a valid string,陈新群,offline160,在售,三江小区,3,2,2,双南,,120.71,,828,2025-11-06,,,,,,,,,,,,,,徐汇,龙华,
184,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,字段 数据源: Input should be a valid string; 字段 房源ID: Input should be a valid string; 字段 状态: Input should be '在售' or '成交'; 字段 小区名: Input should be a valid string; 字段 室: Input should be a valid integer; 字段 厅: Input should be a valid integer; 字段 卫: Input should be a valid integer; 字段 朝向: Input should be a valid string; 字段 楼层: Input should be a valid string; 字段 面积: Input should be a valid number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
